# HTTP Broken URLs — 87 total
# STATUS | TYPE | URL | DETAIL

0 | UNREACHABLE | https://jobrecruitment.in/-job-in-.html | CONNECTION_ERROR
404 | HTTP_404 | https://jobrecruitment.in/job/hr-executive-nikol-ahmedabad-4a8377.html | https://jobrecruitment.in/job/hr-executive-nikol-ahmedabad-4a8377.html
404 | HTTP_404 | https://jobrecruitment.in/job/field-sales-executive-navrangpura-ahmedabad-gujarat-5d71fc.html | https://jobrecruitment.in/job/field-sales-executive-navrangpura-ahmedabad-gujarat-5d71fc.html
404 | HTTP_404 | https://jobrecruitment.in/job/logistics-executive-vaishnodevi-circle-ahmedabad-a9bf3b.html | https://jobrecruitment.in/job/logistics-executive-vaishnodevi-circle-ahmedabad-a9bf3b.html
404 | HTTP_404 | https://jobrecruitment.in/job/maintenance-technician-usmanpura-ahmedabad-gujarat-63d103.html | https://jobrecruitment.in/job/maintenance-technician-usmanpura-ahmedabad-gujarat-63d103.html
404 | HTTP_404 | https://jobrecruitment.in/job/mis-executive-navrangpura-ahmedabad-52971b.html | https://jobrecruitment.in/job/mis-executive-navrangpura-ahmedabad-52971b.html
404 | HTTP_404 | https://jobrecruitment.in/job/php-developer-tragad-ahmedabad-0a95a4.html | https://jobrecruitment.in/job/php-developer-tragad-ahmedabad-0a95a4.html
404 | HTTP_404 | https://jobrecruitment.in/job/printing-in-charge-bavla-ahmedabad-gujarat-60013c.html | https://jobrecruitment.in/job/printing-in-charge-bavla-ahmedabad-gujarat-60013c.html
404 | HTTP_404 | https://jobrecruitment.in/job/purchase-executive-ahmedabad-gujarat-dbd242.html | https://jobrecruitment.in/job/purchase-executive-ahmedabad-gujarat-dbd242.html
404 | HTTP_404 | https://jobrecruitment.in/job/purchase-executive-navrangpura-ahmedabad-eb0419.html | https://jobrecruitment.in/job/purchase-executive-navrangpura-ahmedabad-eb0419.html
404 | HTTP_404 | https://jobrecruitment.in/job/purchase-executive-nikol-ahmedabad-6e5683.html | https://jobrecruitment.in/job/purchase-executive-nikol-ahmedabad-6e5683.html
404 | HTTP_404 | https://jobrecruitment.in/job/purchase-executive-nikol-ahmedabad-8c7f12.html | https://jobrecruitment.in/job/purchase-executive-nikol-ahmedabad-8c7f12.html
